split point, sample size, kernel, penalty param, gamma, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall,cv1,,,,,,,,
0.4,100,rbf,8,0.1,0.000658035,0.000274181,0.000189304,0.016666667,0.125,0.016666667,0.125,0.983333333,1,0.9230769230770.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,8,10,0.00088501,0.000295162,0.000204802,0,0.1,0,0.1,1,1,1.00.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,8,100,0.000862837,0.00028491,0.000184059,0,0.1,0,0.1,1,1,1.00.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,poly,1,0.1,0.000679255,0.000257015,0.000172138,0.066666667,0.075,0.066666667,0.075,0.933333333,1,0.6923076923081.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,1,10,0.000828981,0.000256062,0.000173092,0,0.2,0,0.2,1,1,1.01.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,1,100,0.000781059,0.00030899,0.00049305,0,0.2,0,0.2,1,1,1.01.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,2,0.1,0.000634193,0.000243902,0.000170946,0.033333333,0.125,0.033333333,0.125,0.966666667,1,0.8461538461541.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,2,10,0.000662088,0.000257015,0.000184059,0,0.2,0,0.2,1,1,1.01.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,2,100,0.000674009,0.000262976,0.000183105,0,0.2,0,0.2,1,1,1.01.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,4,0.1,0.000643253,0.000239849,0.000169992,0.016666667,0.125,0.016666667,0.125,0.983333333,1,0.9230769230771.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,4,10,0.000658274,0.000245094,0.000173807,0,0.2,0,0.2,1,1,1.01.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,4,100,0.000648022,0.000248909,0.00017786,0,0.2,0,0.2,1,1,1.01.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,8,0.1,0.000635147,0.000247955,0.000173092,0.016666667,0.2,0.016666667,0.2,0.983333333,1,0.9230769230771.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,8,10,0.001744747,0.00058794,0.000389099,0,0.2,0,0.2,1,1,1.01.0,0.8,0.8,0.6,1,1,1,1,1,1
0.4,100,poly,8,100,0.000715017,0.000254154,0.000174761,0,0.2,0,0.2,1,1,1.01.0,0.8,0.8,0.6,1,1,1,1,1,1
0.5,100,linear,1,0.1,0.001185656,0.000485182,0.00045085,0.08,0.08,0.08,0.08,0.92,0.909090909,0.7692307692311.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,1,10,0.000560999,0.000199795,0.000179052,0.08,0.08,0.08,0.08,0.92,0.909090909,0.7692307692311.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,1,100,0.000591755,0.0002141,0.000209093,0.08,0.08,0.08,0.08,0.92,0.909090909,0.7692307692311.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,2,0.1,0.000571012,0.00019908,0.000178814,0.08,0.12,0.08,0.12,0.92,0.909090909,0.7692307692311.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,2,10,0.000592947,0.000200033,0.000178814,0.08,0.12,0.08,0.12,0.92,0.909090909,0.7692307692311.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,2,100,0.000720024,0.000577211,0.00035882,0.08,0.12,0.08,0.12,0.92,0.909090909,0.7692307692311.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,4,0.1,0.000692129,0.000203848,0.000182152,0.04,0.14,0.04,0.14,0.96,1,0.8461538461541.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,4,10,0.000687838,0.000200987,0.00018096,0.04,0.14,0.04,0.14,0.96,1,0.8461538461541.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,4,100,0.001818895,0.000592947,0.000394106,0.04,0.14,0.04,0.14,0.96,1,0.8461538461541.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,8,0.1,0.001014948,0.00020504,0.000181913,0.04,0.16,0.04,0.16,0.96,1,0.8461538461541.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,8,10,0.001142025,0.000221014,0.000190973,0.04,0.16,0.04,0.16,0.96,1,0.8461538461541.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,linear,8,100,0.001019955,0.000201941,0.000180006,0.04,0.16,0.04,0.16,0.96,1,0.8461538461541.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,rbf,1,0.1,0.000576973,0.000248909,0.00022912,0.04,0.06,0.04,0.06,0.96,1,0.8461538461540.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,1,10,0.000637054,0.000244856,0.00022316,0,0.08,0,0.08,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,1,100,0.000564814,0.000230074,0.000205755,0,0.08,0,0.08,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,2,0.1,0.000586033,0.000233889,0.000212193,0.02,0.1,0.02,0.1,0.98,1,0.9230769230770.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,2,10,0.000700951,0.000249863,0.000226974,0,0.08,0,0.08,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,2,100,0.00058794,0.000231028,0.000206947,0,0.08,0,0.08,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,4,0.1,0.000588894,0.000231028,0.000212908,0,0.12,0,0.12,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,4,10,0.000591755,0.00024128,0.000222921,0,0.08,0,0.08,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,4,100,0.000952959,0.000247955,0.000211,0,0.08,0,0.08,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,8,0.1,0.000679255,0.000267744,0.000245094,0,0.12,0,0.12,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,8,10,0.000997305,0.000304937,0.000231028,0,0.08,0,0.08,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,rbf,8,100,0.000645876,0.000231266,0.000221968,0,0.08,0,0.08,1,1,1.00.833333333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1
0.5,100,poly,1,0.1,0.000596046,0.000232935,0.000209808,0.08,0.04,0.08,0.04,0.92,1,0.6923076923081.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,1,10,0.000582933,0.000212908,0.000193119,0,0.2,0,0.2,1,1,1.01.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,1,100,0.000576019,0.000211,0.000189304,0,0.2,0,0.2,1,1,1.01.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,2,0.1,0.000751257,0.000227928,0.000193119,0.04,0.1,0.04,0.1,0.96,1,0.8461538461541.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,2,10,0.000572205,0.000210047,0.000190973,0,0.2,0,0.2,1,1,1.01.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,2,100,0.000583172,0.000214815,0.000195026,0,0.2,0,0.2,1,1,1.01.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,4,0.1,0.000594139,0.0002141,0.00019598,0.02,0.16,0.02,0.16,0.98,1,0.9230769230771.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,4,10,0.000596046,0.000268221,0.000193596,0,0.2,0,0.2,1,1,1.01.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,4,100,0.000571012,0.000214815,0.000193119,0,0.2,0,0.2,1,1,1.01.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,8,0.1,0.000584841,0.0002141,0.000193119,0,0.2,0,0.2,1,1,1.01.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,8,10,0.000571966,0.000211,0.000191927,0,0.2,0,0.2,1,1,1.01.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.5,100,poly,8,100,0.000571012,0.000212908,0.000192165,0,0.2,0,0.2,1,1,1.01.0,0.833333333,0.833333333,0.666666667,1,1,1,1,1,1
0.2,500,linear,1,0.1,0.003494978,0.001799107,0.000492096,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.9,0.9,0.8,0.9,0.9,0.9,1,0.777777778
0.2,500,linear,1,10,0.003186941,0.001672983,0.000513077,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.9,0.9,0.8,0.9,0.9,0.9,1,0.777777778
0.2,500,linear,1,100,0.003930807,0.002298832,0.000482082,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.9,0.9,0.8,0.9,0.9,0.9,1,0.777777778
0.2,500,linear,2,0.1,0.003996849,0.001779079,0.000488997,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.8,0.9,0.8,0.9,0.9,0.8,1,0.888888889
0.2,500,linear,2,10,0.005360126,0.001896858,0.000494242,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.8,0.9,0.8,0.9,0.9,0.8,1,0.888888889
0.2,500,linear,2,100,0.004425764,0.001972914,0.000525951,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.8,0.9,0.8,0.9,0.9,0.8,1,0.888888889
0.2,500,linear,4,0.1,0.006392956,0.002043962,0.000557184,0.105,0.11,0.105,0.11,0.895,0,0.00.909090909091,0.8,0.8,0.9,0.8,0.9,0.9,0.7,1,0.888888889
