sample size, kernel, C, gamma, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall
100,2,4,0.1,0.003985882,0.004304886,0.000786781,0.025,0.1,0.025,0.1,0.975,0.933333333,0.933333333
100,2,4,0.01,0.000733852,0.00030899,0.000169992,0.1,0.05,0.1,0.05,0.9,0.888888889,0.533333333
100,2,4,0.001,0.00130105,0.000363111,0.000187874,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,2,4,0.0001,0.000991583,0.00037241,0.000188112,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,2,8,0.1,0.00130105,0.000396013,0.000184059,0.0125,0.1,0.0125,0.1,0.9875,0.9375,1
100,2,8,0.01,0.000788927,0.000319004,0.000167131,0.0625,0.05,0.0625,0.05,0.9375,0.916666667,0.733333333
100,2,8,0.001,0.000787973,0.001238823,0.000240326,0.15,0.05,0.15,0.05,0.85,1,0.2
100,2,8,0.0001,0.001202822,0.000500917,0.000309706,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,2,16,0.1,0.000952005,0.000248194,0.00018096,0,0.15,0,0.15,1,1,1
100,2,16,0.01,0.000720024,0.000190973,8.30E-05,0.05,0.1,0.05,0.1,0.95,0.923076923,0.8
100,2,16,0.001,0.000434875,0.000169039,7.92E-05,0.1375,0.05,0.1375,0.05,0.8625,0.833333333,0.333333333
100,2,16,0.0001,0.000461817,0.000180244,7.99E-05,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,1,0.1,0.000459909,0.000164032,7.80E-05,0.05,0.05,0.05,0.05,0.95,1,0.733333333
100,3,1,0.01,0.000406027,0.000162125,7.99E-05,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,1,0.001,0.000329018,0.000138998,7.41E-05,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,1,0.0001,0.000527859,0.000224113,0.00011611,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,2,0.1,0.000487089,0.0001719,8.58E-05,0.0375,0.05,0.0375,0.05,0.9625,1,0.8
100,3,2,0.01,0.000672817,0.000282049,0.000135183,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,2,0.001,0.000709057,0.000275135,0.000154734,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,2,0.0001,0.000737906,0.000497818,0.000869274,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,4,0.1,0.000522137,0.000164986,7.99E-05,0.025,0.05,0.025,0.05,0.975,1,0.866666667
100,3,4,0.01,0.000407219,0.000165224,8.08E-05,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,4,0.001,0.000639915,0.00027585,0.000164032,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,4,0.0001,0.000586987,0.000258923,0.000145197,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,8,0.1,0.000729084,0.000181913,8.99E-05,0.025,0.1,0.025,0.1,0.975,1,0.866666667
100,3,8,0.01,0.000633001,0.000270844,0.000129938,0.175,0.1,0.175,0.1,0.825,1,0.066666667
100,3,8,0.001,0.000377893,0.000283241,8.80E-05,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,8,0.0001,0.000366926,0.000147104,7.51E-05,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,3,16,0.1,0.000890017,0.000283718,0.000106812,0,0.25,0,0.25,1,1,1
100,3,16,0.01,0.000823021,0.000739098,0.000210762,0.15,0.1,0.15,0.1,0.85,1,0.2
100,3,16,0.001,0.000738144,0.00028801,0.000240088,0.1875,0.1,0.1875,0.1,0.8125,0,0
