sample size, layer size,node size, activation, solver, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall
8000,3,500,relu,lbfgs,243.4452822,0.4346838,0.184026718,0,0.124375,0,0.124375,1,1,1
8000,2,500,tanh,adam,242.9145901,0.351760864,0.127826929,0.00015625,0.11625,0.00015625,0.11625,0.99984375,1,0.998687664
45212,2,500,relu,adam,232.0460639,0.693566084,0.180634975,0.017667063,0.11213093,0.017667063,0.11213093,0.982332937,0.911757965,0.939981096
3000,5,500,tanh,lbfgs,227.80983,0.558994055,0.092607021,0,0.128333333,0,0.128333333,1,1,1
8000,3,500,relu,lbfgs,219.6664519,0.48034811,0.178161144,0,0.12625,0,0.12625,1,1,1
45212,5,500,logistic,adam,219.5963819,2.878896952,0.718794107,0.100334541,0.099966825,0.100334541,0.099966825,0.899665459,0.620263263,0.367438563
30000,3,500,relu,adam,216.4843731,1.172106028,0.304539919,0.01125,0.106833333,0.01125,0.106833333,0.98875,0.971872687,0.931205674
8000,3,500,tanh,adam,215.417469,0.684236765,0.198197842,0.00109375,0.12,0.00109375,0.12,0.99890625,0.998678996,0.992125984
3000,3,500,relu,sgd,215.3674562,0.229688168,0.056855917,0.100416667,0.106666667,0.100416667,0.106666667,0.899583333,0.660606061,0.370748299
30000,5,500,identity,adam,214.8184831,2.695751905,0.757647991,0.106958333,0.103833333,0.106958333,0.103833333,0.893041667,0.62816616,0.219858156
10000,2,500,tanh,lbfgs,206.4476371,0.539558172,0.121747017,0,0.1235,0,0.1235,1,1,1
8000,5,500,tanh,adam,198.52338,1.207947969,0.36142087,0.01125,0.115,0.01125,0.115,0.98875,0.963709677,0.940944882
10000,2,500,logistic,lbfgs,196.9792469,0.44398284,0.14051199,0.09775,0.104,0.09775,0.104,0.90225,0.665289256,0.341825902
5000,3,500,logistic,lbfgs,191.3193369,0.391555071,0.093651772,0.10025,0.096,0.10025,0.096,0.89975,0.61341853,0.406779661
8000,2,500,relu,sgd,189.2170348,0.329348087,0.050506115,0.09921875,0.0875,0.09921875,0.0875,0.90078125,0.652278177,0.356955381
30000,2,500,tanh,sgd,188.639209,0.72028923,0.180168152,0.101166667,0.099666667,0.101166667,0.099666667,0.898833333,0.625802311,0.345744681
5000,3,500,logistic,lbfgs,186.3894157,0.331336021,0.153254986,0.101,0.101,0.101,0.101,0.899,0.608280255,0.404661017
10000,2,500,relu,lbfgs,185.3840332,0.392557859,0.059390068,0,0.1195,0,0.1195,1,1,1
30000,2,500,relu,adam,177.9786849,0.563574076,0.170257807,0.021416667,0.116333333,0.021416667,0.116333333,0.978583333,0.861895794,0.973758865
5000,5,500,relu,lbfgs,174.4979,0.511067867,0.201111078,0,0.122,0,0.122,1,1,1
3000,3,500,logistic,lbfgs,165.1114423,0.272382259,0.065860271,0.10625,0.111666667,0.10625,0.111666667,0.89375,0.630872483,0.319727891
